TheGreatBattle Korea 135 6.22
BohemianRhapsody USA 134 9.51
The100thLoveWithYou Japan 116 4.67
FantasticBeastsTheCrimesOfGrindelwald USA 134 7.74
Unstoppable Korea 115 9.40
IntimateStrangers Korea 115 9.13
Persepolis Europe 96 8.31
IWantToEatYourPancreas Japan 109 8.52
Searching USA 101 8.98
3Idiots India 141 6.71
Spider-Man:IntotheSpider-Verse USA 117 7.75
Default Korea 114 8.82
TheNutcrackerandtheFourRealms USA 99 8.32
